nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
         1,-1.099982910E-01,-1.099978638E-01, 0.000000000E+00, 1.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2,-1.070312996E-01,-1.099978638E-01, 0.000000000E+00, 1.000009431E+00, 1.000009431E+00,-3.040793420E-06, 1.433468141E-06
         3,-1.010706100E-01,-1.099978638E-01, 0.000000000E+00, 1.000048494E+00, 1.000048494E+00,-7.825997064E-06, 3.514429436E-06
         4,-9.506551361E-02,-1.099978638E-01, 0.000000000E+00, 1.000123771E+00, 1.000123771E+00,-1.363692349E-05, 5.700482007E-06
         5,-8.904271698E-02,-1.099978638E-01, 0.000000000E+00, 1.000241986E+00, 1.000241986E+00,-1.916744350E-05, 7.824625576E-06
         6,-8.301896667E-02,-1.099978638E-01, 0.000000000E+00, 1.000401130E+00, 1.000401129E+00,-2.496220865E-05, 9.983417344E-06
         7,-7.699330521E-02,-1.099978638E-01, 0.000000000E+00, 1.000603043E+00, 1.000603042E+00,-3.096688770E-05, 1.233764955E-05
         8,-7.096577454E-02,-1.099978638E-01, 0.000000000E+00, 1.000858218E+00, 1.000858216E+00,-3.746718289E-05, 1.464205241E-05
         9,-6.493646812E-02,-1.099978638E-01, 0.000000000E+00, 1.001167200E+00, 1.001167198E+00,-4.761760980E-05, 1.713375301E-05
        10,-5.890547562E-02,-1.099978638E-01, 0.000000000E+00, 1.001532340E+00, 1.001532337E+00,-5.458615654E-05, 1.894333126E-05
        11,-5.287288094E-02,-1.099978638E-01, 0.000000000E+00, 1.001958652E+00, 1.001958648E+00,-5.770365266E-05, 1.999410322E-05
        12,-4.683876419E-02,-1.099978638E-01, 0.000000000E+00, 1.002450267E+00, 1.002450261E+00,-6.718295861E-05, 2.204903237E-05
        13,-4.080319977E-02,-1.099978638E-01, 0.000000000E+00, 1.002987701E+00, 1.002987694E+00,-7.961922986E-05, 2.520802498E-05
        14,-3.476626301E-02,-1.099978638E-01, 0.000000000E+00, 1.003579123E+00, 1.003579115E+00,-8.503966985E-05, 2.643912515E-05
        15,-2.872802258E-02,-1.099978638E-01, 0.000000000E+00, 1.004218247E+00, 1.004218238E+00,-9.125250512E-05, 2.835265663E-05
        16,-2.268854046E-02,-1.099978638E-01, 0.000000000E+00, 1.004890075E+00, 1.004890064E+00,-9.767404035E-05, 3.044300154E-05
        17,-1.664788055E-02,-1.099978638E-01, 0.000000000E+00, 1.005597036E+00, 1.005597026E+00,-9.698468805E-05, 2.969775514E-05
        18,-1.060610223E-02,-1.099978638E-01, 0.000000000E+00, 1.006305610E+00, 1.006305601E+00,-9.501700422E-05, 2.925353075E-05
        19,-4.563260913E-03,-1.099978638E-01, 0.000000000E+00, 1.006993678E+00, 1.006993668E+00,-9.614235138E-05, 2.928785874E-05
