nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
         1,-1.099982910E-01,-1.099978638E-01, 0.000000000E+00, 1.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2,-1.070312996E-01,-1.099978638E-01, 0.000000000E+00, 1.000007657E+00, 1.000007657E+00,-2.488777853E-06, 1.223003356E-06
         3,-1.010706100E-01,-1.099978638E-01, 0.000000000E+00, 1.000038300E+00, 1.000038300E+00,-6.256336529E-06, 2.995735398E-06
         4,-9.506551361E-02,-1.099978638E-01, 0.000000000E+00, 1.000097092E+00, 1.000097092E+00,-1.079347856E-05, 4.718964674E-06
         5,-8.904271698E-02,-1.099978638E-01, 0.000000000E+00, 1.000189491E+00, 1.000189491E+00,-1.516300752E-05, 6.411220321E-06
         6,-8.301896667E-02,-1.099978638E-01, 0.000000000E+00, 1.000313941E+00, 1.000313941E+00,-1.970041256E-05, 8.099637530E-06
         7,-7.699330521E-02,-1.099978638E-01, 0.000000000E+00, 1.000471650E+00, 1.000471649E+00,-2.424021669E-05, 9.915065452E-06
         8,-7.096577454E-02,-1.099978638E-01, 0.000000000E+00, 1.000670047E+00, 1.000670046E+00,-2.921071122E-05, 1.175643172E-05
         9,-6.493646812E-02,-1.099978638E-01, 0.000000000E+00, 1.000909359E+00, 1.000909357E+00,-3.718483764E-05, 1.363602153E-05
        10,-5.890547562E-02,-1.099978638E-01, 0.000000000E+00, 1.001192065E+00, 1.001192063E+00,-4.257421465E-05, 1.498454501E-05
        11,-5.287288094E-02,-1.099978638E-01, 0.000000000E+00, 1.001521750E+00, 1.001521747E+00,-4.483550088E-05, 1.584184595E-05
        12,-4.683876419E-02,-1.099978638E-01, 0.000000000E+00, 1.001901098E+00, 1.001901095E+00,-5.208211598E-05, 1.725764383E-05
        13,-4.080319977E-02,-1.099978638E-01, 0.000000000E+00, 1.002314924E+00, 1.002314920E+00,-6.133349005E-05, 1.946323355E-05
        14,-3.476626301E-02,-1.099978638E-01, 0.000000000E+00, 1.002768091E+00, 1.002768086E+00,-6.501236512E-05, 2.034144501E-05
