nodenumber,x-coordinate,y-coordinate,z-coordinate,velocity-magnitude,x-velocity,y-velocity,z-velocity
1,-0.109998,-0.109998,0.0,1.20,0.85,-0.85,0.0
2,-0.107031,-0.109998,0.0,1.19,0.86,-0.83,0.0
3,-0.101071,-0.109998,0.0,1.18,0.87,-0.80,0.0
4,-0.095066,-0.109998,0.0,1.16,0.88,-0.75,0.0
5,-0.089043,-0.109998,0.0,1.14,0.89,-0.71,0.0
6,-0.083019,-0.109998,0.0,1.12,0.90,-0.66,0.0
7,-0.076993,-0.109998,0.0,1.10,0.91,-0.61,0.0
8,-0.070966,-0.109998,0.0,1.08,0.92,-0.56,0.0
9,-0.064936,-0.109998,0.0,1.06,0.93,-0.51,0.0
10,-0.058905,-0.109998,0.0,1.04,0.94,-0.46,0.0
11,-0.052873,-0.109998,0.0,1.03,0.95,-0.41,0.0
12,-0.046839,-0.109998,0.0,1.02,0.96,-0.36,0.0
13,-0.040803,-0.109998,0.0,1.01,0.97,-0.31,0.0
14,-0.034766,-0.109998,0.0,1.01,0.98,-0.26,0.0
15,-0.028728,-0.109998,0.0,1.01,0.99,-0.21,0.0
16,-0.022689,-0.109998,0.0,1.01,1.00,-0.15,0.0
17,-0.016648,-0.109998,0.0,1.01,1.01,-0.10,0.0
18,-0.010606,-0.109998,0.0,1.01,1.01,-0.05,0.0
19,-0.004563,-0.109998,0.0,1.02,1.02,0.0,0.0
20,0.001481,-0.109998,0.0,1.02,1.02,0.05,0.0
21,0.007526,-0.109998,0.0,1.02,1.01,0.10,0.0
22,0.013572,-0.109998,0.0,1.01,1.01,0.15,0.0
23,0.019619,-0.109998,0.0,1.02,1.00,0.21,0.0
24,0.025667,-0.109998,0.0,1.02,0.99,0.26,0.0
25,0.031715,-0.109998,0.0,1.02,0.98,0.31,0.0
26,0.037765,-0.109998,0.0,1.03,0.97,0.36,0.0
27,0.043816,-0.109998,0.0,1.04,0.96,0.41,0.0
28,0.049867,-0.109998,0.0,1.05,0.95,0.46,0.0
29,0.055919,-0.109998,0.0,1.06,0.94,0.51,0.0
30,0.061972,-0.109998,0.0,1.07,0.93,0.56,0.0
31,0.068026,-0.109998,0.0,1.09,0.92,0.61,0.0
32,0.074080,-0.109998,0.0,1.10,0.91,0.66,0.0
33,0.080134,-0.109998,0.0,1.11,0.90,0.71,0.0
34,0.086189,-0.109998,0.0,1.13,0.89,0.75,0.0
35,0.092245,-0.109998,0.0,1.14,0.88,0.80,0.0
36,0.098301,-0.109998,0.0,1.16,0.87,0.83,0.0
37,0.104357,-0.109998,0.0,1.17,0.86,0.85,0.0
38,0.110414,-0.109998,0.0,1.18,0.85,0.85,0.0
39,0.116470,-0.109998,0.0,1.19,0.80,0.87,0.0
40,0.122527,-0.109998,0.0,1.20,0.75,0.88,0.0
41,0.128585,-0.109998,0.0,1.21,0.71,0.89,0.0
42,0.134642,-0.109998,0.0,1.22,0.66,0.90,0.0
43,0.140699,-0.109998,0.0,1.23,0.61,0.91,0.0
44,0.146756,-0.109998,0.0,1.24,0.56,0.92,0.0
45,0.152814,-0.109998,0.0,1.25,0.51,0.93,0.0
46,0.158871,-0.109998,0.0,1.26,0.46,0.94,0.0
47,0.164928,-0.109998,0.0,1.27,0.41,0.95,0.0
48,0.170985,-0.109998,0.0,1.28,0.36,0.96,0.0
49,0.177041,-0.109998,0.0,1.29,0.31,0.97,0.0
50,0.183098,-0.109998,0.0,1.30,0.26,0.98,0.0
