nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
         1,-1.099982910E-01,-1.099978638E-01, 0.000000000E+00, 1.000000000E+00
         2,-1.070312996E-01,-1.099978638E-01, 0.000000000E+00, 1.000009124E+00
         3,-1.010706100E-01,-1.099978638E-01, 0.000000000E+00, 1.000048221E+00
         4,-9.506551361E-02,-1.099978638E-01, 0.000000000E+00, 1.000123571E+00
         5,-8.904271698E-02,-1.099978638E-01, 0.000000000E+00, 1.000241934E+00
         6,-8.301896667E-02,-1.099978638E-01, 0.000000000E+00, 1.000401076E+00
         7,-7.699330521E-02,-1.099978638E-01, 0.000000000E+00, 1.000602822E+00
         8,-7.096577454E-02,-1.099978638E-01, 0.000000000E+00, 1.000858089E+00
         9,-6.493646812E-02,-1.099978638E-01, 0.000000000E+00, 1.001167182E+00
        10,-5.890547562E-02,-1.099978638E-01, 0.000000000E+00, 1.001532147E+00
        11,-5.287288094E-02,-1.099978638E-01, 0.000000000E+00, 1.001958437E+00
        12,-4.683876419E-02,-1.099978638E-01, 0.000000000E+00, 1.002450143E+00
        13,-4.080319977E-02,-1.099978638E-01, 0.000000000E+00, 1.002987384E+00
        14,-3.476626301E-02,-1.099978638E-01, 0.000000000E+00, 1.003578679E+00
        15,-2.872802258E-02,-1.099978638E-01, 0.000000000E+00, 1.004217771E+00
        16,-2.268854046E-02,-1.099978638E-01, 0.000000000E+00, 1.004889478E+00
        17,-1.664788055E-02,-1.099978638E-01, 0.000000000E+00, 1.005596587E+00
        18,-1.060610223E-02,-1.099978638E-01, 0.000000000E+00, 1.006305113E+00
        19,-4.563260913E-03,-1.099978638E-01, 0.000000000E+00, 1.006992825E+00
        20, 1.480590224E-03,-1.099978638E-01, 0.000000000E+00, 1.007658130E+00
        21, 7.525400639E-03,-1.099978638E-01, 0.000000000E+00, 1.008276488E+00
        22, 1.357112265E-02,-1.099978638E-01, 0.000000000E+00, 1.008833123E+00
        23, 1.961771107E-02,-1.099978638E-01, 0.000000000E+00, 1.009336050E+00
        24, 2.566512108E-02,-1.099978638E-01, 0.000000000E+00, 1.009759063E+00
        25, 3.171331215E-02,-1.099978638E-01, 0.000000000E+00, 1.010109274E+00
        26, 3.776224709E-02,-1.099978638E-01, 0.000000000E+00, 1.010389075E+00
        27, 4.381188583E-02,-1.099978638E-01, 0.000000000E+00, 1.010596550E+00
        28, 4.986219406E-02,-1.099978638E-01, 0.000000000E+00, 1.010750491E+00
        29, 5.591314125E-02,-1.099978638E-01, 0.000000000E+00, 1.010852711E+00
        30, 6.196469307E-02,-1.099978638E-01, 0.000000000E+00, 1.010910923E+00
        31, 6.801681900E-02,-1.099978638E-01, 0.000000000E+00, 1.010933107E+00
        32, 7.406948853E-02,-1.099978638E-01, 0.000000000E+00, 1.010927487E+00
        33, 8.012267685E-02,-1.099978638E-01, 0.000000000E+00, 1.010901077E+00
        34, 8.617635727E-02,-1.099978638E-01, 0.000000000E+00, 1.010858877E+00
        35, 9.223050690E-02,-1.099978638E-01, 0.000000000E+00, 1.010807118E+00
        36, 9.828510284E-02,-1.099978638E-01, 0.000000000E+00, 1.010751359E+00
        37, 1.043401184E-01,-1.099978638E-01, 0.000000000E+00, 1.010690503E+00
        38, 1.103955345E-01,-1.099978638E-01, 0.000000000E+00, 1.010627924E+00
        39, 1.164513321E-01,-1.099978638E-01, 0.000000000E+00, 1.010568359E+00
        40, 1.225074921E-01,-1.099978638E-01, 0.000000000E+00, 1.010509298E+00
        41, 1.285639954E-01,-1.099978638E-01, 0.000000000E+00, 1.010451910E+00
        42, 1.346208267E-01,-1.099978638E-01, 0.000000000E+00, 1.010398845E+00
        43, 1.406779709E-01,-1.099978638E-01, 0.000000000E+00, 1.010349650E+00
        44, 1.467354050E-01,-1.099978638E-01, 0.000000000E+00, 1.010303294E+00
        45, 1.527931213E-01,-1.099978638E-01, 0.000000000E+00, 1.010259948E+00
        46, 1.588511047E-01,-1.099978638E-01, 0.000000000E+00, 1.010219298E+00
        47, 1.649093399E-01,-1.099978638E-01, 0.000000000E+00, 1.010181492E+00
        48, 1.709678192E-01,-1.099978638E-01, 0.000000000E+00, 1.010146216E+00
        49, 1.770265198E-01,-1.099978638E-01, 0.000000000E+00, 1.010112677E+00
        50, 1.830854340E-01,-1.099978638E-01, 0.000000000E+00, 1.010081442E+00
        51, 1.891413193E-01,-1.099978638E-01, 0.000000000E+00, 1.010051309E+00
        52, 1.951771317E-01,-1.099978638E-01, 0.000000000E+00, 1.010021329E+00
        53, 2.011403427E-01,-1.099978638E-01, 0.000000000E+00, 1.009992289E+00
        54, 2.070462036E-01,-1.099978638E-01, 0.000000000E+00, 1.009962697E+00
        55, 2.099982910E-01,-1.099978638E-01, 0.000000000E+00, 1.009952427E+00
        56, 2.011403427E-01,-1.095129291E-01, 0.000000000E+00, 1.009995721E+00
        57,-1.010706100E-01,-1.084836063E-01, 0.000000000E+00, 1.000049422E+00
        58, 2.070462036E-01,-1.084233722E-01, 0.000000000E+00, 1.009966725E+00
        59,-9.506551361E-02,-1.083783214E-01, 0.000000000E+00, 1.000124181E+00
        60, 1.103955345E-01,-1.083425707E-01, 0.000000000E+00, 1.010632544E+00
        61, 1.164513321E-01,-1.083418975E-01, 0.000000000E+00, 1.010574383E+00
        62, 1.043401184E-01,-1.083393276E-01, 0.000000000E+00, 1.010696897E+00
        63, 1.225074921E-01,-1.083369346E-01, 0.000000000E+00, 1.010515147E+00
        64,-3.476626301E-02,-1.083356180E-01, 0.000000000E+00, 1.003567667E+00
        65, 4.986219406E-02,-1.083351763E-01, 0.000000000E+00, 1.010769840E+00
        66, 5.591314125E-02,-1.083343733E-01, 0.000000000E+00, 1.010866448E+00
        67,-4.080319977E-02,-1.083336376E-01, 0.000000000E+00, 1.002986944E+00
        68,-2.872802258E-02,-1.083325377E-01, 0.000000000E+00, 1.004224089E+00
        69, 1.285639954E-01,-1.083299830E-01, 0.000000000E+00, 1.010457053E+00
        70, 9.828510284E-02,-1.083270257E-01, 0.000000000E+00, 1.010757857E+00
        71,-4.683876419E-02,-1.083262046E-01, 0.000000000E+00, 1.002444035E+00
        72, 4.381188583E-02,-1.083262411E-01, 0.000000000E+00, 1.010617282E+00
        73, 6.196469307E-02,-1.083239848E-01, 0.000000000E+00, 1.010922532E+00
        74, 1.357112265E-02,-1.083225345E-01, 0.000000000E+00, 1.008847638E+00
        75, 1.346208267E-01,-1.083218438E-01, 0.000000000E+00, 1.010404217E+00
        76, 7.525400639E-03,-1.083213643E-01, 0.000000000E+00, 1.008290710E+00
        77,-2.268854046E-02,-1.083202744E-01, 0.000000000E+00, 1.004892203E+00
        78,-1.070312996E-01,-1.083187186E-01, 0.000000000E+00, 1.000009450E+00
        79,-5.287288094E-02,-1.083171016E-01, 0.000000000E+00, 1.001953283E+00
        80, 1.406779709E-01,-1.083170484E-01, 0.000000000E+00, 1.010354240E+00
        81, 1.961771107E-02,-1.083152011E-01, 0.000000000E+00, 1.009355465E+00
        82, 1.467354050E-01,-1.083133900E-01, 0.000000000E+00, 1.010308452E+00
        83, 6.801681900E-02,-1.083130026E-01, 0.000000000E+00, 1.010945483E+00
        84, 1.480590224E-03,-1.083103730E-01, 0.000000000E+00, 1.007675502E+00
        85, 9.223050690E-02,-1.083096652E-01, 0.000000000E+00, 1.010815509E+00
        86, 3.776224709E-02,-1.083093095E-01, 0.000000000E+00, 1.010409071E+00
        87, 1.527931213E-01,-1.083076599E-01, 0.000000000E+00, 1.010265378E+00
        88,-1.664788055E-02,-1.083055000E-01, 0.000000000E+00, 1.005602333E+00
        89, 1.951771317E-01,-1.083050328E-01, 0.000000000E+00, 1.010025201E+00
        90, 2.566512108E-02,-1.083029602E-01, 0.000000000E+00, 1.009780213E+00
        91,-5.890547562E-02,-1.083021122E-01, 0.000000000E+00, 1.001532521E+00
        92, 7.406948853E-02,-1.083008191E-01, 0.000000000E+00, 1.010936196E+00
        93, 3.171331215E-02,-1.083000766E-01, 0.000000000E+00, 1.010133201E+00
        94,-4.563260913E-03,-1.082992588E-01, 0.000000000E+00, 1.007000894E+00
        95, 8.617635727E-02,-1.082957002E-01, 0.000000000E+00, 1.010868329E+00
        96,-1.060610223E-02,-1.082954635E-01, 0.000000000E+00, 1.006311958E+00
        97, 8.012267685E-02,-1.082946721E-01, 0.000000000E+00, 1.010910502E+00
        98, 1.588511047E-01,-1.082903959E-01, 0.000000000E+00, 1.010223983E+00
        99, 1.891413193E-01,-1.082823825E-01, 0.000000000E+00, 1.010055710E+00
       100,-6.493646812E-02,-1.082754761E-01, 0.000000000E+00, 1.001161530E+00
       101, 1.649093399E-01,-1.082626718E-01, 0.000000000E+00, 1.010186213E+00
       102, 1.709678192E-01,-1.082328111E-01, 0.000000000E+00, 1.010151011E+00
       103,-7.096577454E-02,-1.082232426E-01, 0.000000000E+00, 1.000855010E+00
       104, 1.830854340E-01,-1.082091686E-01, 0.000000000E+00, 1.010086140E+00
       105, 1.770265198E-01,-1.082056392E-01, 0.000000000E+00, 1.010117785E+00
       106,-8.904271698E-02,-1.081958838E-01, 0.000000000E+00, 1.000240210E+00
       107,-7.699330521E-02,-1.081501720E-01, 0.000000000E+00, 1.000601908E+00
       108,-8.301896667E-02,-1.081148833E-01, 0.000000000E+00, 1.000397845E+00
       109, 2.032166799E-01,-1.074097487E-01, 0.000000000E+00, 1.009986432E+00
       110,-1.099982910E-01,-1.071069183E-01, 0.000000000E+00, 1.000000000E+00
       111,-1.083239035E-01,-1.071069183E-01, 0.000000000E+00, 1.000004244E+00
       112, 2.083138123E-01,-1.070591965E-01, 0.000000000E+00, 1.009964563E+00
       113, 2.099982910E-01,-1.070591965E-01, 0.000000000E+00, 1.009959327E+00
