nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
         1,-1.099982910E-01,-1.099978638E-01, 0.000000000E+00, 1.000000000E+00
         2,-1.070312996E-01,-1.099978638E-01, 0.000000000E+00, 1.000007306E+00
         3,-1.010706100E-01,-1.099978638E-01, 0.000000000E+00, 1.000038001E+00
         4,-9.506551361E-02,-1.099978638E-01, 0.000000000E+00, 1.000096829E+00
         5,-8.904271698E-02,-1.099978638E-01, 0.000000000E+00, 1.000189394E+00
         6,-8.301896667E-02,-1.099978638E-01, 0.000000000E+00, 1.000313872E+00
         7,-7.699330521E-02,-1.099978638E-01, 0.000000000E+00, 1.000471385E+00
         8,-7.096577454E-02,-1.099978638E-01, 0.000000000E+00, 1.000669902E+00
         9,-6.493646812E-02,-1.099978638E-01, 0.000000000E+00, 1.000909359E+00
        10,-5.890547562E-02,-1.099978638E-01, 0.000000000E+00, 1.001191894E+00
        11,-5.287288094E-02,-1.099978638E-01, 0.000000000E+00, 1.001521583E+00
        12,-4.683876419E-02,-1.099978638E-01, 0.000000000E+00, 1.001901057E+00
        13,-4.080319977E-02,-1.099978638E-01, 0.000000000E+00, 1.002314739E+00
        14,-3.476626301E-02,-1.099978638E-01, 0.000000000E+00, 1.002767796E+00
        15,-2.872802258E-02,-1.099978638E-01, 0.000000000E+00, 1.003254344E+00
        16,-2.268854046E-02,-1.099978638E-01, 0.000000000E+00, 1.003762249E+00
        17,-1.664788055E-02,-1.099978638E-01, 0.000000000E+00, 1.004293301E+00
        18,-1.060610223E-02,-1.099978638E-01, 0.000000000E+00, 1.004820977E+00
        19,-4.563260913E-03,-1.099978638E-01, 0.000000000E+00, 1.005327101E+00
        20, 1.480590224E-03,-1.099978638E-01, 0.000000000E+00, 1.005810082E+00
        21, 7.525400639E-03,-1.099978638E-01, 0.000000000E+00, 1.006251513E+00
        22, 1.357112265E-02,-1.099978638E-01, 0.000000000E+00, 1.006639834E+00
        23, 1.961771107E-02,-1.099978638E-01, 0.000000000E+00, 1.006980967E+00
        24, 2.566512108E-02,-1.099978638E-01, 0.000000000E+00, 1.007258396E+00
